"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","02/02/2023","2200","2200","2200","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","20/02/2023","1700","1700","1700","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","06/04/2023","1800","1800","1800","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","14/04/2023","1800","1800","1800","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","22/04/2023","1800","1800","1800","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","23/04/2023","1800","1800","1800","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","25/04/2023","1800","1800","1800","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","30/04/2023","1900","1900","1900","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","02/05/2023","1900","1900","1900","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","03/05/2023","1900","1900","1900","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","05/05/2023","2000","2000","2000","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","06/05/2023","1950","1950","1950","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","11/05/2023","2000","2000","2000","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","15/05/2023","2000","2000","2000","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","19/05/2023","2100","2100","2100","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","20/05/2023","2100","2100","2100","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","23/05/2023","2100","2100","2100","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","26/05/2023","2200","2200","2200","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","27/05/2023","2100","2100","2100","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","28/05/2023","2100","2100","2100","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","30/05/2023","1900","1900","1900","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","01/06/2023","2100","2100","2100","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","02/06/2023","2200","2200","2200","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","03/06/2023","2200","2200","2200","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","04/06/2023","2200","2200","2200","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","06/06/2023","2200","2200","2200","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","11/06/2023","2125","2125","2125","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","12/06/2023","1800","2125","2125","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","18/06/2023","2100","2100","2100","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","23/06/2023","1900","1900","1900","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","26/06/2023","2000","2000","2000","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","03/07/2023","2100","2100","2100","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","04/07/2023","2100","2200","2200","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","05/07/2023","2100","2100","2100","2023-10-11"
"Madhya Pradesh","Anupur","Anuppur","Wheat","Deshi","08/07/2023","2150","2150","2150","2023-10-11"
