Date,zone,centre,Price
06-01-93,1,HISAR,320
06-01-93,1,KARNAL,320
06-01-93,1,SHIMLA,NA
06-01-93,1,MANDI,NA
06-01-93,1,SRINAGAR,NA
06-01-93,1,JAMMU,NA
06-01-93,1,AMRITSAR,NA
06-01-93,1,LUDHIANA,NA
06-01-93,1,LUCKNOW,350
06-01-93,1,KANPUR,355
06-01-93,1,CHANDIGARH,335
06-01-93,1,DELHI,360
06-01-93,2,AHMEDABAD,550
06-01-93,2,RAJKOT,405
06-01-93,2,PANAJI,NA
06-01-93,2,BHOPAL,430
06-01-93,2,INDORE,380
06-01-93,2,MUMBAI,665
06-01-93,2,NAGPUR,463
06-01-93,2,JAIPUR,400
06-01-93,2,JODHPUR,390
06-01-93,3,GUWAHATI,415
06-01-93,3,PATNA,NA
06-01-93,3,SHILLONG,460
06-01-93,3,AIZAWL,NA
06-01-93,3,BHUBANESHWAR,NA
06-01-93,3,CUTTACK,NA
06-01-93,3,KOLKATA,NA
06-01-93,3,AGARTALA,NA
06-01-93,4,HYDERABAD,555
06-01-93,4,VIJAYAWADA,650
06-01-93,4,BANGALORE,690
06-01-93,4,THIRUVANANTHAPURAM,NA
06-01-93,4,ERNAKULAM,NA
06-01-93,4,CHENNAI,631
06-01-93,4,MADURAI,580
06-01-93,4,PONDICHERRY,NA
13-01-93,1,HISAR,335
13-01-93,1,KARNAL,NA
13-01-93,1,SHIMLA,NA
13-01-93,1,MANDI,NA
13-01-93,1,SRINAGAR,NA
13-01-93,1,JAMMU,NA
13-01-93,1,AMRITSAR,325
13-01-93,1,LUDHIANA,330
13-01-93,1,LUCKNOW,352
13-01-93,1,KANPUR,360
13-01-93,1,CHANDIGARH,345
13-01-93,1,DELHI,365
13-01-93,2,AHMEDABAD,NA
13-01-93,2,RAJKOT,NA
13-01-93,2,PANAJI,NA
13-01-93,2,BHOPAL,400
13-01-93,2,INDORE,380
13-01-93,2,MUMBAI,NA
13-01-93,2,NAGPUR,458
13-01-93,2,JAIPUR,400
13-01-93,2,JODHPUR,395
13-01-93,3,GUWAHATI,NA
13-01-93,3,PATNA,NA
13-01-93,3,SHILLONG,NA
13-01-93,3,AIZAWL,NA
13-01-93,3,BHUBANESHWAR,NA
13-01-93,3,CUTTACK,NA
13-01-93,3,KOLKATA,NA
13-01-93,3,AGARTALA,NA
13-01-93,4,CHENNAI,631
13-01-93,4,HYDERABAD,555
13-01-93,4,VIJAYAWADA,650
13-01-93,4,BANGALORE,700
13-01-93,4,THIRUVANANTHAPURAM,NA
13-01-93,4,ERNAKULAM,NA
13-01-93,4,MADURAI,600
13-01-93,4,PONDICHERRY,685
20-01-93,1,HISAR,335
20-01-93,1,KARNAL,325
20-01-93,1,SHIMLA,NA
20-01-93,1,MANDI,336
20-01-93,1,SRINAGAR,NA
20-01-93,1,JAMMU,NA
20-01-93,1,AMRITSAR,340
20-01-93,1,LUDHIANA,330
20-01-93,1,LUCKNOW,352
20-01-93,1,KANPUR,360
20-01-93,1,CHANDIGARH,345
20-01-93,1,DELHI,307
20-01-93,2,AHMEDABAD,530
20-01-93,2,RAJKOT,405
20-01-93,2,PANAJI,NA
20-01-93,2,BHOPAL,425
20-01-93,2,INDORE,400
20-01-93,2,MUMBAI,681
20-01-93,2,NAGPUR,450
20-01-93,2,JAIPUR,410
20-01-93,2,JODHPUR,400
20-01-93,3,GUWAHATI,NA
20-01-93,3,PATNA,480
20-01-93,3,SHILLONG,NA
20-01-93,3,AIZAWL,NA
20-01-93,3,BHUBANESHWAR,NA
20-01-93,3,CUTTACK,NA
20-01-93,3,KOLKATA,NA
20-01-93,3,AGARTALA,NA
20-01-93,4,HYDERABAD,555
20-01-93,4,VIJAYAWADA,705
20-01-93,4,BANGALORE,705
